;;;;;;
0;Inbouwdoos codeklavier op ip zonder rand;0 st.;100 €;0 €;;
DT20;Xillo trimless inbouwkit enkel voor binnenhuis;0 st.;100 €;0 €;;
;;;;;;
0;Ontvanger/zender ip over 2 draden;0 st.;104 €;0 €;;
0;Zender 6 kanalen ip over 2 draden;0 st.;257 €;0 €;;
48DC;48V DC voeding voor 2-draads interface;0 st.;70 €;0 €;;
DT00-12;12V DC voeding 4A;0 st.;65 €;0 €;;
DT0D-7AG;SIP binnenpost opbouw;0 st.;290 €;0 €;;
DT0D-7ATG;SIP binnenpost android opbouw;0 st.;420 €;0 €;;
DT20-LIC;Licentie voor videofonie (smartphone/tablet);0 st.;85 €;0 €;;
0;Programmatie domotica (+/-);0 st.;79 €;0 €;;
;;;;;;
;Totaal videofonie;;;;;
;Totaaloverzicht;;;;;
;;;;;;
;Smartbox;;0 €;;;
;Totaal basis domotica;;750 €;;;
;Totaal uitbreiding domotica;;1.500 €;;;
;Totaal Touchscreens;;0 €;;;
;Duotecno schakelaars;;0 €;;;
;Room-E en Smarttouch;;158 €;;;
;Bewegingsdetectoren;;0 €;;;
;Totaal interfaces;;0 €;;;
;Totaal videofonie;;0 €;;;
